name	description	tags	abilityId	version
神の呼吸	対象技命中時、次の効果を発動＜1回＞\n・すべての技ダメージと技命中を＜3＞上昇\n・15秒経過ごとに＜1＞減少		
背水Lv4	[終盤]対象技命中時、残りライフが少ないほど攻撃ステータス上昇[最大40%]、さらに残り10秒の時、技ダメージ上昇Lv3		
祝：霊魂Lv8	対象技発動時、自身に[霊魂]を付与またはレベルを8上昇＜1回＞		
テクニックレイズ	対象技発動時、技ステータス上昇Lv1		
テクニックオーバー	対象技発動時、技ステータス上昇Lv2/ガッツ回復Lv4		
祝：霊魂Lv1	対象技発動時、自身に[霊魂]を付与またはレベルを1上昇＜1回＞		
疫：火傷Lv1	対象技命中時、相手に[火傷Lv1＜20秒＞]を付与＜1回＞		
禍炎	対象技命中時、相手に[火傷Lv1＜20秒＞]と[暗闇Lv1＜20秒＞]を付与＜1回＞			
祝：霊魂Lv2	対象技発動時、自身に[霊魂]を付与またはレベルを2上昇＜1回＞			
祝：精密Lv2	対象技発動時、自身に[精密Lv2]を付与＜1回＞			
[獣族]変転	[相手魔族以外]かつ対象技命中時、有利オーラに変換＜1回＞			
ライフ上昇[小]	ライフパラ+20			
かしこさ上昇[小]	かしこさパラ+20			
[中]与ダメ上昇	技が命中したとき中距離の与ダメ上昇Lv3＜10秒＞			
クチヨセ	対象技命中時、ランダムな技ステータス1つを上昇Lv3＜1回＞			
命中上昇[小]	命中パラ+20			
回避上昇[小]	回避パラ+20			
疫：火傷Lv2	対象技命中時、相手に[火傷Lv2＜20秒＞]を付与＜1回＞			
奪気Lv3	対象技命中時、ガッツダメージに応じてガッツ回復＜消費ガッツの30%まで＞			
呪：魅了	対象技命中時、相手に[魅了＜20秒＞]を付与＜1回＞			
命中上昇[中]	命中パラ+30			
オーラインパクト	自身のオーラと発動技のオーラ一致、または＜オーラなし＞技発動時、与ダメ上昇/ガッツ回復Lv2			
ちから上昇[小]	ちからパラ+20			
[中]命中率上昇	技が命中したとき中距離の命中上昇Lv3＜10秒＞			
疫：暗闇Lv2	対象技命中時、[暗闇Lv2＜20秒＞]を付与＜1回＞			
恐怖の許嫁	対象技発動時、技が命中した場合は一度だけ相手のガッツを0にする＜1回＞			
流転：青Lv2	対象技命中時、青オーラ技のすべてのステータス上昇Lv2＜30秒＞＜1回＞			
充填Lv2	技命中時、消費ガッツの＜10%＞回復			
疫：混乱	対象技発動時、相手に[混乱＜15秒＞]を付与＜1回＞			
思考加速	対象技命中時、相手に次の効果発動＜30秒＞＜1回＞\n・相手の意味不明の発生確率＜+35%＞\n・被ダメージ＜10%＞上昇			
